"*2.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2.00.0000","2","2","","",".00","","",".00","Capture Details","BEAR PAW LAKE","BP","","","","","","","","","","","","NOT PRESENT","","BEAR PAW LAKE","BP","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","stock - Bear Paw Lake","","","",""
"*3.00.0000*","","","","wild-caught","","","","","wild-caught","","","","3.00.0000","3","3","","",".00","","",".00","Capture Details","BOOT LAKE","BT","","","","","","","","","","","","NOT PRESENT","","BOOT LAKE","BT","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","stock - Boot Lake","","","",""
"*4.00.0000*","","","","wild-caught","","","","","wild-caught","","","","4.00.0000","4","4","","",".00","","",".00","Capture Details","WHALE LAKE","WH","","","","","","","","","","","","NOT PRESENT","","WHALE LAKE","WH","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","stock - Whale Lake","","","",""
"*5.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","5.00.0000","5","5","3.0001","3","3.00.0001","1.0001","1","1.00.0001","","BOOT LAKE/RABBIT SLOUGH","BT/RS","","","","","","","","","","","","Mike Bell Cross #1NOT PRESENT","","BOOT LAKE X RABBIT SLOUGH","BT X RS","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Boot by RS","","","",""
"*6.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","6.00.0000","6","6","2.0001","2","2.00.0001","1.0002","1","1.00.0002","","BEAR PAW LAKE/RABBIT SLOUGH","BP/RS","","","","","","","","","","","","Mike Bell Cross #2Location: Fish Room Cabinet 1Box #1","","BEAR PAW LAKE X RABBIT SLOUGH","BP X RS","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F1 QTL; Bear Paw by RS","","","",""
"*7.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","7.00.0000","7","7","3.0002","3","3.00.0002","1.0003","1","1.00.0003","","BOOT LAKE/RABBIT SLOUGH","BT/RS","","","","","","","","","","","","Mike Bell Cross #3Location: Fish Room Cabinet 1Box #1","","BOOT LAKE X RABBIT SLOUGH","BT X RS","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F1 QTL; Boot by RS","","","",""
"*8.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","8.00.0000","8","8","3.0003","3","3.00.0003","1.0004","1","1.00.0004","","BOOT LAKE/RABBIT SLOUGH","BT/RS","","","","","","","","","","","","Mike Bell Cross #4Location: Fish Room Cabinet 1Box #1","","BOOT LAKE X RABBIT SLOUGH","BT X RS","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F1 QTL; Boot by RS","","","",""
"*9.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","9.00.0000","9","9","3.0004","3","3.00.0004","1.0005","1","1.00.0005","","BOOT LAKE/RABBIT SLOUGH","BT/RS","","","","","","","","","","","","Mike Bell Cross #5NOT PRESENT","","BOOT LAKE X RABBIT SLOUGH","BT X RS","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Boot by RS","","","",""
"*10.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","10.00.0000","10","10","1.0006","1","1.00.0006","2.0002","2","2.00.0002","","BEAR PAW LAKE/RABBIT SLOUGH","BP/RS","","","","","","","","","","","","Mike Bell Cross #6NOT PRESENT","","BEAR PAW LAKE X RABBIT SLOUGH","BP X RS","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Bear Paw by RS","","","",""
"*11.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","11.00.0000","11","11","3.0005","3","3.00.0005","1.0007","1","1.00.0007","","BOOT LAKE/RABBIT SLOUGH","BT/RS","","","","","","","","","","","","Mike Bell Cross #7NOT PRESENT","","BOOT LAKE X RABBIT SLOUGH","BT X RS","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Boot by RS","","","",""
