sbGeneticsConstant::captureDate,sbGeneticsConstant::identification,sbGeneticsConstant::materialTransferAgreement,sbGeneticsConstant::mutantAllele,sbGeneticsConstant::phenotype,sbGeneticsConstant::researcherCommentsGenetics,sbGeneticsConstant::researcherInitials,sbGeneticsConstant::source,sbGeneticsConstant::species,sbGeneticsConstant::transgenes
06/15/1999,stock-GlennHighway,,,,,,wild;   Glenn Highway,"Gasterosteus aculeatus
",
06/15/1999,stock - Bear Paw Lake,,,,,,wild;  Bear Paw Lake,Gasterosteus aculeatus,
06/15/1999,stock - Boot Lake,,,,,,wild;  Boot Lake,Gasterosteus aculeatus,
06/15/1999,stock - Whale Lake,,,,,,wild;  Whale Lake,Gasterosteus aculeatus,
,F1 QTL; Boot by RS,,,,Mike Bell Cross #1,,,Gasterosteus aculeatus,
,F1 QTL; Bear Paw by RS,,,,Mike Bell Cross #2,,,Gasterosteus aculeatus,
,F1 QTL; Boot by RS,,,,Mike Bell Cross #3,,,Gasterosteus aculeatus,
,F1 QTL; Boot by RS,,,,Mike Bell Cross #4,,,Gasterosteus aculeatus,
,F1 QTL; Boot by RS,,,,Mike Bell Cross #5,,,Gasterosteus aculeatus,
,F1 QTL; Bear Paw by RS,,,,Mike Bell Cross #6,,,Gasterosteus aculeatus,
,F1 QTL; Boot by RS,,,,Mike Bell Cross #7,,,Gasterosteus aculeatus,
,F1 QTL; Bear Paw by RS,,,,Mike Bell Cross #8,,,Gasterosteus aculeatus,
,F1 QTL; Bear Paw by RS,,,,Mike Bell Cross #9,,,Gasterosteus aculeatus,
,F1 QTL; Boot by RS,,,,Mike Bell Cross #10,,,Gasterosteus aculeatus,
,F1 QTL; Bear Paw by RS,,,,Mike Bell Cross #11,,,Gasterosteus aculeatus,
,F1 QTL; Bear Paw by RS,,,,Mike Bell Cross #12,,,Gasterosteus aculeatus
,F1 QTL; Bear Paw by RS,,,,Mike Bell Cross #13,,,Gasterosteus aculeatus
,F1 QTL; Boot by RS,,,,Mike Bell Cross #14,,,Gasterosteus aculeatus
,F1 QTL; Bear Paw by RS,,,,MB cross #15,,,Gasterosteus aculeatus
,F1 QTL; Boot by RS,,,,MB Cross #16,,,Gasterosteus aculeatus
,F1 QTL; Bear Paw by RS,,,,MB Cross #17,,,Gasterosteus aculeatus
,F1 QTL; RS by RS,,,,MB Cross #18,,,Gasterosteus aculeatus
,F1 QTL; Whale by RS,,,,MB Cross # 19,,,Gasterosteus aculeatus
,F1 QTL; Whale by RS,,,,MB Cross #20,,,Gasterosteus aculeatus
,F1 QTL; RS by RS,,,,MB Cross #21,,,Gasterosteus aculeatus
,F1 QTL; Whale by RS,,,,MB Cross #22,,,Gasterosteus aculeatus
,F1 QTL; Boot by RS,,,,MB Cross #23,,,Gasterosteus aculeatus
,F1 QTL; Boot by RS,,,,MB Cross #24,,,Gasterosteus aculeatus
,F1 QTL; RS by RS,,,,MB Cross #25,,,Gasterosteus aculeatus
,F1 QTL; RS by RS,,,,MB Cross #26,,,Gasterosteus aculeatus
,F1 QTL; RS by RS,,,,MB Cross #27,,,Gasterosteus aculeatus
06/10/2000,stock - Boot Lake,,,,,,wild;  Boot Lake,Gasterosteus aculeatus
06/10/2000,stock - Bear Paw Lake,,,,06/10/00,,wild;  Bear Paw Lake,Gasterosteus aculeatus
,F1 QTL; Boot by RS,,,,MB Cross #28,,,Gasterosteus aculeatus
,F1 QTL; Boot by RS,,,,MB Cross #29,,,Gasterosteus aculeatus
,F1 QTL; Boot by RS,,,,MB Cross #30,,,Gasterosteus aculeatus
,F1 QTL; Boot by RS,,,,MB Cross #31,,,Gasterosteus aculeatus
,F1 QTL; Boot by RS,,,,MB Cross #32,,,Gasterosteus aculeatus
,F1 QTL; Bear Paw by RS,,,,MB Cross #33,,,Gasterosteus aculeatus
,F1 QTL; Bear Paw by RS,,,,MB Cross #34,,,Gasterosteus aculeatus
,F1 QTL; Boot by RS,,,,MB Cross #35,,,Gasterosteus aculeatus
,F1 QTL; Bear Paw by RS,,,,MB Cross #36,,,Gasterosteus aculeatus
,F1 QTL; Bear Paw by RS,,,,MB Cross #37,,,Gasterosteus aculeatus
,F1 QTL; Bear Paw by RS,,,,MB Cross #38,,,Gasterosteus aculeatus
,F1 QTL; Bear Paw by RS,,,,MB Cross #39,,,Gasterosteus aculeatus
,F2 QTL; Boot by RS,,,,"born at 10:30 am 
Sacrificed and DNA extracted on 26Apr02",,,Gasterosteus aculeatus
,F2 QTL; Boot by RS,,,,born at 10:30 am,,,Gasterosteus aculeatus
,F2 QTL; Boot by RS,,,,born at 11:46 am,,,Gasterosteus aculeatus
,F2 QTL; Whale by RS,,,,born at 9:45 am,,,Gasterosteus aculeatus
